2024-12-26 01:15:02 [main] DEBUG o.h.e.j.e.s.IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
2024-12-26 01:15:02 [main] DEBUG o.h.boot.model.relational.Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2024-12-26 01:15:02 [main] DEBUG o.h.type.spi.TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@39c1fe0b] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@5ae95707]
2024-12-26 01:15:02 [main] DEBUG org.hibernate.cfg.AnnotationBinder - Binding entity from annotated class: databases.task1.Magic
2024-12-26 01:15:02 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.EntityBinder - Import with entity name Magic
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.EntityBinder - Bind entity databases.task1.Magic on table magic
2024-12-26 01:15:02 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(magic), mappingColumn=idMagic, insertable=true, updatable=true, unique=false}
2024-12-26 01:15:02 [main] DEBUG o.h.b.internal.ClassLoaderAccessImpl - Not known whether passed class name [databases.task1.Magic] is safe
2024-12-26 01:15:02 [main] DEBUG o.h.b.internal.ClassLoaderAccessImpl - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : databases.task1.Magic
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property idMagic with lazy=false
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [databases.task1.Magic:idMagic]
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.BasicValueBinder - building BasicValue for idMagic
2024-12-26 01:15:02 [main] DEBUG org.hibernate.mapping.BasicValue - Skipping column re-registration: magic.idMagic
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property idMagic
2024-12-26 01:15:02 [main] DEBUG org.hibernate.cfg.BinderHelper - #makeIdGenerator(org.hibernate.mapping.BasicValue([org.hibernate.mapping.Column(idMagic)]), idMagic, identity, , ...)
2024-12-26 01:15:02 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(magic), mappingColumn=armor, insertable=true, updatable=true, unique=false}
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property armor with lazy=false
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [databases.task1.Magic:armor]
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.BasicValueBinder - building BasicValue for armor
2024-12-26 01:15:02 [main] DEBUG org.hibernate.mapping.BasicValue - Skipping column re-registration: magic.armor
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property armor
2024-12-26 01:15:02 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(magic), mappingColumn=attack, insertable=true, updatable=true, unique=false}
